Frame,Time,Marker,X,Y,Z
1,2024-12-20 15:39:00.256550 ,r.ASIS_study,-0.3900086902443024,0.32228636631765684,0.977733024718852
1,2024-12-20 15:39:00.256550 ,L.ASIS_study,-0.08004074025784455,0.306899255905536,0.9717691068972063
1,2024-12-20 15:39:00.256550 ,r.PSIS_study,-0.2887155622604939,0.5352209571937593,1.0262429726744604
1,2024-12-20 15:39:00.256550 ,L.PSIS_study,-0.16739392135177575,0.528360626492885,1.0243092340851736
1,2024-12-20 15:39:00.256550 ,r_knee_study,-0.41439503658448185,0.4943576444129022,0.4593723950410795
1,2024-12-20 15:39:00.256550 ,r_mknee_study,-0.28012499067817653,0.46471587458649,0.45995455360660076
1,2024-12-20 15:39:00.256550 ,r_ankle_study,-0.395134153253183,0.5620008770565065,0.04372089481601238
1,2024-12-20 15:39:00.256550 ,r_mankle_study,-0.29901698458825077,0.5171481434444459,0.039361709120364186
1,2024-12-20 15:39:00.256550 ,r_toe_study,-0.3785450034204575,0.386442052062138,-0.028791672227292064
1,2024-12-20 15:39:00.256550 ,r_5meta_study,-0.4388310335937592,0.44992542156973203,-0.02407843494167805
1,2024-12-20 15:39:00.256550 ,r_calc_study,-0.3226512544218155,0.626282236371425,0.01807772493609905
1,2024-12-20 15:39:00.256550 ,L_knee_study,-0.04691323865090333,0.49109822401800474,0.47329031801471233
1,2024-12-20 15:39:00.256550 ,L_mknee_study,-0.16709099192057572,0.449588804338363,0.4708620843912077
1,2024-12-20 15:39:00.256550 ,L_ankle_study,-0.052671375161752326,0.5430716488698991,0.05419355011233806
1,2024-12-20 15:39:00.256550 ,L_mankle_study,-0.13911012042199097,0.4887363899687799,0.051394694807620045
1,2024-12-20 15:39:00.256550 ,L_toe_study,-0.053550379759416206,0.3947275502795847,-0.024263328549771312
1,2024-12-20 15:39:00.256550 ,L_calc_study,-0.12796715129052125,0.5822891507486375,0.035626286032290455
1,2024-12-20 15:39:00.256550 ,L_5meta_study,-0.004972922093019111,0.4610849384407075,-0.020154780385403637
1,2024-12-20 15:39:00.256550 ,r_shoulder_study,-0.4080831580225083,0.39874601906189044,1.5023772654558134
1,2024-12-20 15:39:00.256550 ,L_shoulder_study,-0.06050244200859986,0.3683207117209705,1.5077443060899687
1,2024-12-20 15:39:00.256550 ,C7_study,-0.23630736762543045,0.484282410536197,1.5202771959329557
1,2024-12-20 15:39:00.256550 ,r_thigh1_study,-0.4380217813316437,0.3584772840330871,0.7199325350547743
1,2024-12-20 15:39:00.256550 ,r_thigh2_study,-0.4536742143694016,0.41991349944868406,0.6192692158246946
1,2024-12-20 15:39:00.256550 ,r_thigh3_study,-0.44738503027592624,0.49978312740125974,0.7527196047330809
1,2024-12-20 15:39:00.256550 ,L_thigh1_study,-0.017605441099748237,0.37093558238842805,0.7396532235170317
1,2024-12-20 15:39:00.256550 ,L_thigh2_study,-0.007760646230325324,0.42846837529936155,0.6364914414907408
1,2024-12-20 15:39:00.256550 ,L_thigh3_study,-0.02243207622204743,0.49992820510664304,0.7516562131668043
1,2024-12-20 15:39:00.256550 ,r_sh1_study,-0.42086714733277286,0.5116413820723565,0.33754491186389446
1,2024-12-20 15:39:00.256550 ,r_sh2_study,-0.4347707651916596,0.4970800046066316,0.21022188043841838
1,2024-12-20 15:39:00.256550 ,r_sh3_study,-0.4233123533788773,0.5833273146490129,0.2302566108728361
1,2024-12-20 15:39:00.256550 ,L_sh1_study,-0.03614159155522309,0.5083632681707414,0.34665202474841594
1,2024-12-20 15:39:00.256550 ,L_sh2_study,-0.015964495426759345,0.4945446092824014,0.21814905977496624
1,2024-12-20 15:39:00.256550 ,L_sh3_study,-0.038538517839059455,0.5684094045499833,0.23917680359134197
1,2024-12-20 15:39:00.256550 ,RHJC_study,-0.32069783884917225,0.4324363049308332,0.8972071812922668
1,2024-12-20 15:39:00.256550 ,LHJC_study,-0.1337980427208992,0.42313776800432523,0.8940866210932445
1,2024-12-20 15:39:00.256550 ,r_lelbow_study,-0.4990695290628525,0.4521690372566255,1.0967270073915434
1,2024-12-20 15:39:00.256550 ,r_melbow_study,-0.4402970247331711,0.4683062795738252,1.0913414744163465
1,2024-12-20 15:39:00.256550 ,r_lwrist_study,-0.5356465153757187,0.42904625723162015,0.8606546645487261
1,2024-12-20 15:39:00.256550 ,r_mwrist_study,-0.5451368563238236,0.49351057300367673,0.8601091926420641
1,2024-12-20 15:39:00.256550 ,L_lelbow_study,0.04672853421534576,0.37803137378790697,1.1130016533161116
1,2024-12-20 15:39:00.256550 ,L_melbow_study,0.005186659806623833,0.39667462820210775,1.1210783360029173
1,2024-12-20 15:39:00.256550 ,L_lwrist_study,0.0881378776964096,0.3464808862844976,0.8993838367486906
1,2024-12-20 15:39:00.256550 ,L_mwrist_study,0.12606186937655486,0.38873000728921314,0.8900946484381866
2,2024-12-20 15:39:01.515595 ,r.ASIS_study,-0.39379092387307474,0.34097173349973997,0.9769086785707077
2,2024-12-20 15:39:01.515595 ,L.ASIS_study,-0.08334233693230936,0.32517916249153456,0.9705596178862652
2,2024-12-20 15:39:01.515595 ,r.PSIS_study,-0.2920875147675354,0.554510916639541,1.0256851263436875
2,2024-12-20 15:39:01.515595 ,L.PSIS_study,-0.17060975811827966,0.5475049270879968,1.0236169047746262
2,2024-12-20 15:39:01.515595 ,r_knee_study,-0.4184112035428364,0.5142788095962747,0.4576274775061211
2,2024-12-20 15:39:01.515595 ,r_mknee_study,-0.28383407450664827,0.484531226624225,0.4581952117476067
