Freeflyer_X[m],Freeflyer_Y[m],Freeflyer_Z[m],Freeflyer_quaternion_X,Freeflyer_quaternion_Y,Freeflyer_quaternion_Z,Freeflyer_quaternion_W,Left_Hip_Flexion_Extension[rad],Left_Hip_Abduction_Adduction[rad],Left_Hip_Internal_External_Rotation[rad],Left_Knee_Flexion_Extension[rad],Left_Ankle_Plantarflexion_Dorsiflexion[rad],Left_Ankle_Inversion_Eversion[rad],Lumbar_Flexion_Extension[rad],Lumbar_Lateral_Bending[rad],Thoracic_Flexion_Extension[rad],Thoracic_Lateral_Bending[rad],Thoracic_Internal_External_Rotation[rad],Left_Clavicle_Elevation_Depression[rad],Left_Shoulder_Flexion_Extension[rad],Left_Shoulder_Abduction_Adduction[rad],Left_Shoulder_Internal_External_Rotation[rad],Left_Elbow_Flexion_Extension[rad],Left_Elbow_Pronation_Supination[rad],Left_Wrist_Flexion_Extension[rad],Left_Wrist_Radial_Ulnar_Deviation[rad],Cervical_Flexion_Extension[rad],Cervical_Lateral_Bending[rad],Cervical_Internal_External_Rotation[rad],Right_Clavicle_Elevation_Depression[rad],Right_Shoulder_Flexion_Extension[rad],Right_Shoulder_Abduction_Adduction[rad],Right_Shoulder_Internal_External_Rotation[rad],Right_Elbow_Flexion_Extension[rad],Right_Elbow_Pronation_Supination[rad],Right_Wrist_Flexion_Extension[rad],Right_Wrist_Radial_Ulnar_Deviation[rad],Right_Hip_Flexion_Extension[rad],Right_Hip_Abduction_Adduction[rad],Right_Hip_Internal_External_Rotation[rad],Right_Knee_Flexion_Extension[rad],Right_Ankle_Plantarflexion_Dorsiflexion[rad],Right_Ankle_Inversion_Eversion[rad]
-0.005255382830539517,0.9376021710958969,0.3539072790796079,0.05176215038838318,-0.7419488612084566,-0.05726131001450791,0.6659985763746276,0.0621176938440321,0.10801089056166828,-0.20159438772937432,0.021397865770403698,0.0266075735717829,0.019949124247545257,-0.11326488700482379,0.0062755543971066575,7.298589016568901e-07,1.3716637069300773e-08,-6.090801944508426e-07,-0.03502962321256261,-0.15221303436591177,0.32021375823526077,0.05820960547780762,0.40284227756861796,0.4407035488745517,-1.860563353218349e-22,-1.860563353218349e-22,0.11842604528674336,0.022774659893624677,-0.07102311579941774,-0.026171745983524924,-0.11402284571200876,0.36155079532107515,0.030777163434362355,0.4466539873116661,0.46119589739502914,-1.860563353218349e-22,-1.860563353218349e-22,0.09100356413781081,0.04529502241750656,-0.12615505721417147,0.005000750964233067,0.05591415152542763,-0.05918618265642628
-0.005251982470374709,0.9375869714994753,0.3538552081687964,0.051762238018243784,-0.7419219933069573,-0.05725449202917305,0.666028791709971,0.06215901321278593,0.10799957763589388,-0.20160360732570465,0.021399760534096684,0.02655407440032204,0.01994651110943061,-0.11332307617482995,0.006257491639374252,8.185699085977496e-06,4.873185725672258e-06,-6.524645125608329e-05,-0.03495882893246528,-0.15222408055443132,0.3201409715697159,0.058310336231701836,0.4028670631670885,0.44071501377086914,-1.8605633532169985e-22,-1.8605633532169985e-22,0.11851748040868113,0.02282065855012604,-0.07099972881407857,-0.0261098370354794,-0.11403680464816401,0.3614594456829241,0.03068810235094431,0.4467100317136873,0.46114506475988126,-1.8605633532169985e-22,-1.8605633532169985e-22,0.0910453991200783,0.04532771784444495,-0.12612807465792736,0.0051001784613249924,0.05588187145755305,-0.05913745785229101
-0.0052315947165932405,0.9374915452305844,0.35355766852343806,0.05174612193627233,-0.741851895271905,-0.057203703766817465,0.6661124945386345,0.06224807416257807,0.10794821458486704,-0.2017591350594868,0.021353521331814198,0.026206350412479304,0.019950005662150057,-0.11362603997716056,0.006160612965273432,4.9776357012512156e-05,1.8157947563053584e-05,-8.054605399288289e-05,-0.034474017887356656,-0.15216766712651483,0.3197517606078903,0.059077159959195005,0.402914772125231,0.4407792311989181,-1.860563353216638e-22,-1.860563353216638e-22,0.11918992176057286,0.02314753783724094,-0.07099086164884819,-0.025712848353998702,-0.11433192115634636,0.360902224430967,0.02987731324836271,0.447234270000668,0.46080122415489944,-1.860563353216638e-22,-1.860563353216638e-22,0.0912525076757694,0.045513291408729666,-0.1258044099496502,0.005559260597012323,0.05558061957553716,-0.05884180204951656
-0.0051891287757493835,0.9373137625995397,0.35308130516076297,0.05169241849110185,-0.7416912568111422,-0.05717693964810398,0.6662978574014395,0.0623545093296907,0.10798719503507476,-0.2019725598455829,0.021195267258843797,0.025439864974740142,0.020001726543635214,-0.11409762635743813,0.006079873073817359,9.999291102370813e-05,4.05725887134892e-05,-8.267542261252927e-05,-0.03359314586385807,-0.15213372663911137,0.3191748092749263,0.06041221654047711,0.40290704716004205,0.44079241831815236,-1.86056335321651e-22,-1.86056335321651e-22,0.12083965269330382,0.023791379556895465,-0.07078027454825504,-0.0246688690908125,-0.1151204029140734,0.35942106159744563,0.02797020276075812,0.44861612403244444,0.4600514954828804,-1.86056335321651e-22,-1.86056335321651e-22,0.09178505101472392,0.04578212193948009,-0.12497042350860382,0.0064013076234630765,0.05495935048454157,-0.05831706071449807
-0.0050966759251540004,0.9370131861010093,0.3522829207818442,0.05154644554121991,-0.7413338516726589,-0.05714802510774363,0.6667094620927561,0.06267609712073711,0.10813697323109867,-0.2020101608417016,0.02108328931045878,0.024085420260788117,0.02015910870046168,-0.11463037303360105,0.006005680197919125,9.974345141647652e-05,6.421254283470618e-05,-6.0736548738622686e-05,-0.03198321851524746,-0.15227955587883335,0.31809026330978596,0.06252213101853046,0.40311868672179907,0.4407345726939635,-1.860563353216472e-22,-1.860563353216472e-22,0.12388329210967022,0.025092305677214006,-0.07069837759682425,-0.022760260318903134,-0.11656503302379517,0.3566127525660967,0.024243611261995847,0.4508535314651526,0.4586782954077807,-1.860563353216472e-22,-1.860563353216472e-22,0.09282981231352752,0.0461652230084707,-0.12355992864818965,0.008134811484987056,0.05402618992213332,-0.05739849552480212
-0.004947633469863277,0.9366225133237226,0.35129567825150626,0.05132668035554511,-0.740873976070219,-0.057179050437762405,0.6672349035332852,0.06301827594716217,0.10847115639366471,-0.20197873922409051,0.02096593181316399,0.022231768026612097,0.020399211339581436,-0.11510420432077012,0.006015933688855394,9.872252556288314e-05,8.206325320785711e-05,-6.71150831479396e-05,-0.029685546429633537,-0.15253729137673447,0.31656997640293477,0.06484688896487377,0.40352615966537614,0.44058978093049167,-1.8605633532164517e-22,-1.8605633532164517e-22,0.12803992421762392,0.026943831108156995,-0.07092681437587912,-0.01969623566862373,-0.11854044585228772,0.352159490481884,0.019019830200511314,0.45403048442030736,0.45676437793941566,-1.8605633532164517e-22,-1.8605633532164517e-22,0.0942643162763027,0.04656017504258003,-0.1214277113664458,0.010271365301331506,0.05260813887934303,-0.056186489805792335
-0.004731168112838992,0.9362853116037155,0.3503526053378593,0.05101674329468974,-0.7403752344264296,-0.057293767982173,0.6678022972446855,0.06350860225914345,0.10902820468951961,-0.20154809481800431,0.02103190096405968,0.020444874774395536,0.02057285044897634,-0.11485529396486852,0.0062523895638039225,9.965719247055205e-05,9.025415802902786e-05,-8.020191299870858e-05,-0.027421637119597136,-0.15293563543827263,0.31509697027732453,0.06644931758842844,0.4045486811368928,0.44043250813028995,-1.8605633532164416e-22,-1.8605633532164416e-22,0.13169590800341496,0.028808739007640707,-0.07225158979325028,-0.016320109212428324,-0.12045613955198092,0.3471175150031838,0.013290170280274731,0.45696687729705615,0.45487141493519206,-1.8605633532164416e-22,-1.8605633532164416e-22,0.09585104515722705,0.04668368256483137,-0.1191308557600911,0.012404114338201894,0.05145291389121283,-0.054952911746427635
-0.004503302951694764,0.9360470784081728,0.34947749742387424,0.05073530072475637,-0.7400815145158667,-0.05740884496058469,0.6681390557235337,0.06399755407732953,0.10956272107699876,-0.2011899695464263,0.021211213987903692,0.01912927495774606,0.020585205775967626,-0.11401905351283402,0.0064834555784064616,9.968582166516754e-05,8.783375262283355e-05,-9.869687837043032e-05,-0.025359327007798853,-0.15315611696639092,0.3135551555200621,0.06671256736113423,0.406183058667031,0.44048339958367055,-1.8605633532164357e-22,-1.8605633532164357e-22,0.13423686582506472,0.03010692061078995,-0.07490464270234763,-0.013176114430910144,-0.1219627657365826,0.342356935428017,0.008419371892126597,0.4587404994749006,0.4534634162447182,-1.8605633532164357e-22,-1.8605633532164357e-22,0.09715719478299796,0.0466046289903949,-0.11700685141637826,0.014084209662618002,0.05058936081152267,-0.05385551552145125
-0.00429819587836387,0.935981921462942,0.34853822982781846,0.050546106249583216,-0.7402392694371205,-0.05749070681211393,0.6679714284538909,0.06436382021261974,0.10994314550942266,-0.20160823919801954,0.021190081006374335,0.018523885009323546,0.01996770632363865,-0.11267947603939044,0.006713807580664995,9.974575303464408e-05,8.036243403419727e-05,-9.87023955218077e-05,-0.024154926236084093,-0.1530690177389783,0.3124736619101558,0.06571890576239049,0.40824947083315966,0.4410125572126225,-1.8605633532164315e-22,-1.8605633532164315e-22,0.13455332195819147,0.03025672064695609,-0.0788017396924792,-0.011294821438197444,-0.12271825303499541,0.3393874854835996,0.0055675867977856616,0.45938648555930234,0.452910437045205,-1.8605633532164315e-22,-1.8605633532164315e-22,0.0980105104242842,0.04635743636716026,-0.11504705166779801,0.014824125683337358,0.05034559126363984,-0.05299571859842845
-0.004181416725044002,0.93601953443849,0.3473889913979191,0.05041289025968516,-0.7407118163463265,-0.05745035271970914,0.6674612389874779,0.0643673649066942,0.11010768180097281,-0.20289603762160205,0.020760234015848828,0.018376223721019352,0.0190264415610658,-0.11136748145960923,0.006739105517459899,9.947390409456764e-05,2.5301619612729215e-05,-9.967637112904415e-05,-0.023659768996348394,-0.15264234600749116,0.3118355416331295,0.06428213622946116,0.4099022169922849,0.4419179671774218,-1.8605633532164284e-22,-1.8605633532164284e-22,0.1342980707734235,0.029240919679610934,-0.08230822109865105,-0.010901230436191381,-0.1235339143006651,0.3384211001206126,0.004065198235825028,0.4593584629719761,0.4529054101231604,-1.8605633532164284e-22,-1.8605633532164284e-22,0.09853765053452662,0.04611977178110475,-0.1133159656701271,0.015247844338519142,0.05055228840950323,-0.052340307282913216
