RShoulder_x,RShoulder_y,RShoulder_z,LShoulder_x,LShoulder_y,LShoulder_z,Neck_x,Neck_y,Neck_z,RElbow_x,RElbow_y,RElbow_z,LElbow_x,LElbow_y,LElbow_z,RWrist_x,RWrist_y,RWrist_z,LWrist_x,LWrist_y,LWrist_z,RHip_x,RHip_y,RHip_z,LHip_x,LHip_y,LHip_z,midHip_x,midHip_y,midHip_z,RKnee_x,RKnee_y,RKnee_z,LKnee_x,LKnee_y,LKnee_z,RAnkle_x,RAnkle_y,RAnkle_z,LAnkle_x,LAnkle_y,LAnkle_z,RHeel_x,RHeel_y,RHeel_z,LHeel_x,LHeel_y,LHeel_z,RBigToe_x,RBigToe_y,RBigToe_z,LBigToe_x,LBigToe_y,LBigToe_z,RSmallToe_x,RSmallToe_y,RSmallToe_z,LSmallToe_x,LSmallToe_y,LSmallToe_z
-0.09371058356921198,-0.24024928344323632,1.3072528291484402,0.1876726956762701,-0.27835395201066676,1.2959757283227011,0.04506701349608053,-0.2792941170057682,1.394928809524398,-0.16354250269538473,-0.23499900565955412,1.0445662870522954,0.2339448640274459,-0.2695782499229492,1.041961552346947,-0.2582604058903788,-0.27965018109311346,0.8178870492203594,0.29250039315441406,-0.29990738999059585,0.8079789048419673,-0.054682525998194724,-0.2731607704321157,0.8642731643961723,0.1266106264357011,-0.29585405102991025,0.8604023827588456,0.038863315349681085,-0.2768852195153834,0.8822309537807972,-0.09254194472646207,-0.24631465865535185,0.478560381318443,0.15675246375723523,-0.21852913489408682,0.47229747125551247,-0.13748203929653252,-0.19765208244509047,0.09242713488050365,0.18904127158611678,-0.1671226754967448,0.09072054719902371,-0.13208843769649864,-0.1359632672686108,0.026425328147820164,0.1854443339338896,-0.11364184600950852,0.029555795753523177,-0.13628151955184675,-0.32040948419936327,0.030851361601590604,0.20219812368689738,-0.30140836272934124,0.03508531860077242,-0.18717430826029258,-0.29090456316239033,0.02347958648261097,0.24875904073429256,-0.2579987897430579,0.03572935039368733
-0.09457302206239686,-0.2369186711055798,1.3082580640152695,0.18825125794754427,-0.2733937341232636,1.2990046985381518,0.0448771913233302,-0.28061810986974617,1.3954555195973097,-0.1611191010080516,-0.21901422424239486,1.0465406363897949,0.23516247985164979,-0.26333669294259543,1.0393049974906594,-0.257747903625186,-0.28685883733091605,0.8179331671381581,0.29413194627531125,-0.30146276969795194,0.8062556815691604,-0.054095334425214955,-0.27864999807677565,0.8643205885940344,0.12767106220258467,-0.2985151553318231,0.8607617016153498,0.038654778656471885,-0.28377352517210025,0.8823860028781398,-0.09210915758269514,-0.25189142510427953,0.47885128113549963,0.15801637538588775,-0.22078087200353902,0.4727576155690737,-0.1364473906885536,-0.18673147769980591,0.0884744328307916,0.19096921163838543,-0.15839857533502028,0.08934784265525121,-0.13214497290685784,-0.11205123310501941,0.02115463305056993,0.18698374881367114,-0.10582195184066348,0.030654412397892197,-0.1369983003763383,-0.3282880862935058,0.03285270643999187,0.20234612098942723,-0.3061416392437212,0.03583874783191497,-0.18820976803978262,-0.3010927686968296,0.0271642574907289,0.24756764395309638,-0.2578503470156658,0.034578938009506614
-0.09530794066097815,-0.24323055634294238,1.3083555698045082,0.18759217800698885,-0.273428265854279,1.2996512709000072,0.043820507129647766,-0.2824390991916294,1.3960467051157832,-0.15993486345300784,-0.21204086031906422,1.0479279888022668,0.23457779018095237,-0.263116781022593,1.037983011058869,-0.25742895994395876,-0.2847170390279717,0.8184124253532562,0.29557394123150843,-0.29899844233834344,0.8052489005484502,-0.0533557305673064,-0.2748798656442312,0.865062927959478,0.12852151353275582,-0.2984651526766802,0.86186578331895,0.037833970383422386,-0.28914493693216614,0.8825513569116868,-0.09146590506387972,-0.24869233783736922,0.4783503585563278,0.15897742129570192,-0.22082584119587523,0.4729317632038677,-0.13607429965847306,-0.18338457776857192,0.08748254673465547,0.19247449061948624,-0.1522137311789818,0.08841317354797217,-0.13128128420418683,-0.10322545821842233,0.01957517286511698,0.18756596555878746,-0.10300763474472277,0.03014366757846841,-0.13745402739973955,-0.33542857052187514,0.03502993948374434,0.20168979629979228,-0.3107816210402525,0.03702308368565786,-0.18820466906001748,-0.30665932466726825,0.028992662629256857,0.24783722839879857,-0.255589792755107,0.033320764654428355
-0.09571693363352174,-0.25365628123651807,1.3077971174521044,0.18687766895523605,-0.2752652137291485,1.2983280919187847,0.04322575176225172,-0.28340278727337415,1.396621327539341,-0.15999522708105135,-0.2135860573787593,1.0479306715233188,0.2336862306365542,-0.26516633555331154,1.037325065402512,-0.2574629793362304,-0.2790980528646886,0.8191603803345106,0.29637576175178165,-0.2952339461033444,0.8050575215219531,-0.052938603565637773,-0.268200545704781,0.8661275745074624,0.12896334679452853,-0.2958755513167715,0.8637621469815844,0.03696431554999147,-0.2907056666714822,0.883053356233701,-0.09109111027798153,-0.24284924469204144,0.47773191238521706,0.15943486158176945,-0.21841206104485789,0.4727583586191254,-0.13567708850087443,-0.1841746742823726,0.08808889977559337,0.1931501551462818,-0.1501836201673054,0.0885197441734738,-0.1299052619919128,-0.10770862933951159,0.021359144001237323,0.18775288272799812,-0.10141367554393721,0.02855805739839986,-0.13778985255206572,-0.34195836200103,0.037600960680788525,0.20094335604934332,-0.31200295279038603,0.03778123753648805,-0.18743428124349032,-0.309899039770266,0.029897397800837482,0.2489020366500958,-0.2529018686451362,0.032489155600774484
-0.09575047969769868,-0.25709979904673014,1.3076585286879907,0.1877227140122933,-0.2737824523011467,1.29710024260278,0.04424497085851215,-0.2819782319936359,1.3970355254914235,-0.16020538448786986,-0.21657180437222612,1.0467464345517543,0.23477904387757892,-0.2630918500119885,1.0363848922887815,-0.2578181667228318,-0.28075792889680845,0.8194715953786861,0.2962678177538942,-0.2956780950675634,0.8053702983816332,-0.05337773898064013,-0.26993840811923253,0.8670625878177926,0.129028057708924,-0.29299329130912183,0.8654717453528219,0.03685709797188397,-0.2881827551823877,0.8840937503465468,-0.0915837813600573,-0.24422390732381266,0.4782289432453148,0.15957951236651013,-0.21457137060846215,0.4723682484762118,-0.13482937281848822,-0.1827827048510246,0.08773198321122647,0.19301283475966385,-0.15209204398737597,0.0896320697330139,-0.12922413276837869,-0.11205657361619834,0.02272410176767324,0.18800865861260913,-0.09839515618373565,0.02811492409635933,-0.13816894319233763,-0.3462318916109614,0.039752813519515526,0.20105558677267388,-0.30780294028815885,0.036854835098250716,-0.18720527338553317,-0.31349025494997773,0.03118342015645989,0.24922669767598726,-0.25266779310590887,0.032444802273233826
-0.09571064299400679,-0.25338133210301417,1.3083594687342095,0.189227317719814,-0.2712186764723435,1.2967435251478299,0.045257813504948716,-0.27998008425224225,1.3971818305301729,-0.1599161660254782,-0.21675679176721585,1.0458081554296146,0.2371160332129545,-0.2586548789669405,1.0354511430722186,-0.2582770345033921,-0.28749664225663446,0.8187423541472847,0.2956246485723363,-0.30017106202328814,0.8058772829930386,-0.05438043299679823,-0.277625692282757,0.8681701485251055,0.12884498715025816,-0.2920219494708152,0.8660279289860653,0.03712408589315577,-0.28545219767712504,0.8851400390383227,-0.09259941622031087,-0.2502180274791121,0.47986962262701016,0.15973078819501185,-0.21065981534460937,0.47206815630928545,-0.13436074926670782,-0.18032940783293028,0.08701728948707899,0.19259166175183828,-0.15536132761953536,0.09060379235979467,-0.12964733335427714,-0.10927921017723385,0.021555026681631513,0.1878249212484574,-0.09856794592590926,0.02965542974825211,-0.1380912580898751,-0.3446602749619291,0.039771308619232545,0.2015417647860553,-0.30265915845524843,0.03475749236726074,-0.1878492220105123,-0.3129556041741431,0.03138798040991569,0.2485550285027061,-0.2553435696328371,0.03293613381353165
-0.09588164087861215,-0.2505785977515689,1.3090623699475645,0.18924607494769935,-0.2729034902102586,1.296595257595837,0.044334715309176626,-0.2804893287539812,1.3972039270999552,-0.15974677614164107,-0.21550092968313617,1.0458678549045177,0.2382618977020392,-0.25754094471646977,1.0346837455154332,-0.2586764975433504,-0.28832291364784135,0.8172955096962594,0.29518003802527315,-0.302672329110763,0.8063356770890909,-0.05505435970015172,-0.27934712103786896,0.869571243168304,0.12848942912128586,-0.29356825463625114,0.8658121420881598,0.03686106443469705,-0.2864176432535766,0.8853805412379581,-0.09305888610738075,-0.25239930790388543,0.4814402613793287,0.15977660561444157,-0.20816584662659338,0.472236611515753,-0.13459447269363312,-0.18118602960426822,0.08798592891587395,0.1923558503568082,-0.15666237290877078,0.09035665950872311,-0.13029045244364418,-0.10483694332387308,0.02027187769649271,0.18740695681574188,-0.1028101418594998,0.031337957489820954,-0.13696331933772565,-0.336911335645292,0.03720773475759197,0.20142320597490904,-0.30241415158890905,0.033637323074498245,-0.18806862266440594,-0.3042357872118754,0.028676062196954538,0.2477756307445798,-0.25937191834026146,0.03381006610688992
-0.09598500493401345,-0.25195014418436806,1.3089134725959837,0.18796143157096967,-0.2765625712219895,1.2966668438866287,0.04274892245191168,-0.2819191283291823,1.397498085924175,-0.1602496179493345,-0.21502105525788934,1.0461585079786917,0.23784832962537483,-0.25890500318779414,1.0337203902409655,-0.2589809491623849,-0.2810185479318239,0.8164354126207486,0.2953142846676459,-0.29949543500179077,0.8065198330204175,-0.05488294573939906,-0.27306493797983716,0.8706607774893274,0.12837349328985187,-0.2953164910010376,0.8660002867483663,0.03645962376249753,-0.28895972276650334,0.8848596982833523,-0.0925727155211368,-0.25078308275829536,0.4819254989259577,0.15947750003755812,-0.20776945949441922,0.47284960609599036,-0.13456026920696612,-0.18534857264237792,0.09024542083682137,0.19224933397267696,-0.1556993989185687,0.08934308457155811,-0.1301118050746371,-0.10586843589145997,0.0217555134503849,0.18748839762858943,-0.10550681146915974,0.031877433738855564,-0.13553608756808483,-0.32850118619803387,0.033946909857897195,0.2008552057821597,-0.3058017654113767,0.03437494989773364,-0.18725357627838413,-0.29408139436783004,0.02486364787570482,0.24751719134886624,-0.26272051117038053,0.0350495752930417
-0.09552204714527794,-0.2535974916437051,1.3083506736083295,0.18787656948216264,-0.2742987420203521,1.2977336413266602,0.043166206574088754,-0.28003459540987846,1.398038129265308,-0.16071705927134705,-0.21534251059969267,1.0461790811821978,0.2374467361340255,-0.257597896250054,1.033126874446494,-0.2591262025511632,-0.2741629287813675,0.8169481207823756,0.29570191274443913,-0.29429874403234807,0.8062566570485575,-0.054143847564270556,-0.268758553938665,0.8710921404824048,0.1290770060937637,-0.2938975000885087,0.8669360908155582,0.03724283988211804,-0.2872004208810195,0.8845236325785982,-0.09193825818615828,-0.25001669620538736,0.4812871723734496,0.15911007563745327,-0.20861242103334415,0.4732544742198017,-0.1337214292964008,-0.1887765433399189,0.09133618898227959,0.19194324538473856,-0.15568490366408194,0.08893048499099548,-0.12910294478192974,-0.1115821461705285,0.024603922583881215,0.18714357164526535,-0.10685984770473564,0.03295275046142223,-0.135412072792211,-0.3256403560265122,0.032425756777905546,0.20053125818899564,-0.3075829292981634,0.03552961570101424,-0.1867503822825773,-0.29278238392623257,0.02364395700328803,0.2474991155709279,-0.26395468933175564,0.03614632657358583
-0.09467425629943604,-0.25137483370583086,1.308528158164239,0.18978687991956344,-0.2660852382926931,1.299332161418544,0.04542682355736715,-0.27529949726459907,1.3982706789489545,-0.1604563552259889,-0.21620130280005811,1.0466369660897272,0.2376762031747942,-0.2539923470388766,1.0337211779153388,-0.2589961508863106,-0.27350463011670045,0.8178561841006071,0.2957216042924778,-0.2931973546933664,0.805688837501939,-0.05357573240958588,-0.2718013918185462,0.8712065257242636,0.13021435008407561,-0.29024835468252125,0.8677977081459813,0.03918195962699197,-0.28084205689817676,0.8849823959421085,-0.09185559978199268,-0.24897688497453402,0.47993950696035964,0.15908041548170687,-0.20925240931446176,0.4729308587996668,-0.13293807924197587,-0.1883385886255976,0.09018172483216845,0.1915348300900362,-0.15761268369366338,0.0892353740405773,-0.1281923763255851,-0.11631354661321419,0.02547560017113646,0.184955763444676,-0.11240070799567334,0.035593124065403464,-0.1365900460621298,-0.32831150595394226,0.03304080540318233,0.2004455548411178,-0.307349628837634,0.035812209881534406,-0.18741401242774186,-0.29919267153170076,0.02555580871499893,0.24719504670859715,-0.26309359158894036,0.036340976039479424
